fromNode	toNode	weight	direction	fromAltName	toAltName
RPL31	RPL6	0.374493232050961	undirected	NA	NA
RPL31	RPL3	0.381065957885478	undirected	NA	NA
RPL31	EIF3D	0.394797700753935	undirected	NA	NA
RPL31	EIF3E	0.335035864309682	undirected	NA	NA
RPL31	RPL34	0.357284234925454	undirected	NA	NA
RPL31	RPL24	0.356557408729243	undirected	NA	NA
RPL31	EEF1B2	0.401211388933925	undirected	NA	NA
RPL31	RPL21	0.356194708097938	undirected	NA	NA
RPL31	RPL5	0.348519979378713	undirected	NA	NA
RPL31	HNRNPA1	0.360192023616516	undirected	NA	NA
RPL31	RPS6	0.378904218408889	undirected	NA	NA
RPL31	RPS24	0.372337119478544	undirected	NA	NA
RPL31	RPS2	0.385059505457943	undirected	NA	NA
RPL31	RPS3A	0.383928097522176	undirected	NA	NA
RPL31	RPL10	0.354543533176806	undirected	NA	NA
RPL31	RPL7	0.379225933924199	undirected	NA	NA
RPL31	EIF3H	0.356780012466317	undirected	NA	NA
RPL31	EEF1A1	0.391627174291205	undirected	NA	NA
RPL31	RPL8	0.379921903214756	undirected	NA	NA
RPL31	RPL26	0.355993310343603	undirected	NA	NA
RPL31	RPL9	0.358898587254551	undirected	NA	NA
RPL31	NSA2	0.334766347715119	undirected	NA	NA
RPL31	RPS14	0.364262531975054	undirected	NA	NA
RPL31	RPSA	0.37560829051213	undirected	NA	NA
RPL31	RPL14	0.356026705206092	undirected	NA	NA
RPL31	RACK1	0.382397847411305	undirected	NA	NA
RPL31	EEF1G	0.383846246069053	undirected	NA	NA
RPL31	ENSG00000255508	0.386269299379216	undirected	NA	NA
RPL31	ENSG00000263809	0.354901781093637	undirected	NA	NA
RPL6	RPL3	0.374301269316702	undirected	NA	NA
RPL6	EIF3D	0.390287078891062	undirected	NA	NA
RPL6	EIF3E	0.35651696647572	undirected	NA	NA
RPL6	RPL34	0.377354950701044	undirected	NA	NA
RPL6	RPL24	0.374634225984936	undirected	NA	NA
RPL6	EEF1B2	0.392772111287653	undirected	NA	NA
RPL6	RPL21	0.374612959050192	undirected	NA	NA
RPL6	RPL5	0.362135436811948	undirected	NA	NA
RPL6	HNRNPA1	0.359785751161799	undirected	NA	NA
RPL6	RPS6	0.369364771719894	undirected	NA	NA
RPL6	RPS24	0.368732175308208	undirected	NA	NA
RPL6	RPS2	0.377022923655117	undirected	NA	NA
RPL6	RPS3A	0.374562940752846	undirected	NA	NA
RPL6	RPL10	0.37326605587699	undirected	NA	NA
RPL6	RPL7	0.372045394432379	undirected	NA	NA
RPL6	EIF3H	0.36072440158778	undirected	NA	NA
RPL6	EEF1A1	0.386525328616027	undirected	NA	NA
RPL6	RPL8	0.370223395872009	undirected	NA	NA
RPL6	RPL26	0.375100133513436	undirected	NA	NA
RPL6	RPL9	0.369999364586496	undirected	NA	NA
