nodeName	altName	nodeAttr[nodesPresent, ]
GRAMD1B	NA	cf-black
RELT	NA	cf-black
ZFYVE26	NA	cf-black
ATP13A1	NA	cf-black
PTGES3	NA	cf-black
ADCY7	NA	cf-black
SH3TC1	NA	cf-black
RHBDF2	NA	cf-black
NUP210	NA	cf-black
PAN2	NA	cf-black
FLNB	NA	cf-black
EIF4EBP2	NA	cf-black
HYOU1	NA	cf-black
SOGA1	NA	cf-black
LRRK1	NA	cf-black
MIDEAS	NA	cf-black
DIP2A	NA	cf-black
ARPC2	NA	cf-black
PIGG	NA	cf-black
PLEC	NA	cf-black
EP400	NA	cf-black
TRRAP	NA	cf-black
MYO18A	NA	cf-black
SZT2	NA	cf-black
HEXA	NA	cf-black
TTLL3	NA	cf-black
SNHG14	NA	cf-black
PI4KA	NA	cf-black
MYO15B	NA	cf-black
ENSG00000272916	NA	cf-black
