nodeName	altName	nodeAttr[nodesPresent, ]
RPL31	NA	cf-blue
RPL6	NA	cf-blue
RPL3	NA	cf-blue
EIF3D	NA	cf-blue
EIF3E	NA	cf-blue
RPL34	NA	cf-blue
RPL24	NA	cf-blue
EEF1B2	NA	cf-blue
RPL21	NA	cf-blue
RPL5	NA	cf-blue
HNRNPA1	NA	cf-blue
RPS6	NA	cf-blue
RPS24	NA	cf-blue
RPS2	NA	cf-blue
RPS3A	NA	cf-blue
RPL10	NA	cf-blue
RPL7	NA	cf-blue
EIF3H	NA	cf-blue
EEF1A1	NA	cf-blue
RPL8	NA	cf-blue
RPL26	NA	cf-blue
RPL9	NA	cf-blue
NSA2	NA	cf-blue
RPS14	NA	cf-blue
RPSA	NA	cf-blue
RPL14	NA	cf-blue
RACK1	NA	cf-blue
EEF1G	NA	cf-blue
ENSG00000255508	NA	cf-blue
ENSG00000263809	NA	cf-blue
