nodeName	altName	nodeAttr[nodesPresent, ]
PHLDB1	NA	cf-brown
CROCC	NA	cf-brown
BICRA	NA	cf-brown
ISOC2	NA	cf-brown
CHFR	NA	cf-brown
LLGL2	NA	cf-brown
RAPGEF3	NA	cf-brown
GGA1	NA	cf-brown
TSC2	NA	cf-brown
TIMM44	NA	cf-brown
ATG2A	NA	cf-brown
ZBTB47	NA	cf-brown
COQ8B	NA	cf-brown
EML2	NA	cf-brown
DOCK6	NA	cf-brown
CASZ1	NA	cf-brown
CC2D1A	NA	cf-brown
AGAP3	NA	cf-brown
HSPG2	NA	cf-brown
OBSCN	NA	cf-brown
RGS12	NA	cf-brown
RRP1	NA	cf-brown
NCKAP5L	NA	cf-brown
LTBP3	NA	cf-brown
SCRIB	NA	cf-brown
EHMT1	NA	cf-brown
TXNRD2	NA	cf-brown
ZNF316	NA	cf-brown
ENSG00000267426	NA	cf-brown
ENSG00000280441	NA	cf-brown
