nodeName	altName	nodeAttr[nodesPresent, ]
CACNB1	NA	cf-magenta
PLOD1	NA	cf-magenta
PDGFB	NA	cf-magenta
FMR1	NA	cf-magenta
PLD3	NA	cf-magenta
FBRSL1	NA	cf-magenta
VPS4B	NA	cf-magenta
PIK3CA	NA	cf-magenta
RAB22A	NA	cf-magenta
HNRNPR	NA	cf-magenta
MCF2L	NA	cf-magenta
SIN3B	NA	cf-magenta
USO1	NA	cf-magenta
KATNB1	NA	cf-magenta
SFXN5	NA	cf-magenta
ANKMY1	NA	cf-magenta
EIF4A2	NA	cf-magenta
PPP4R2	NA	cf-magenta
IFT122	NA	cf-magenta
INPPL1	NA	cf-magenta
FAM234A	NA	cf-magenta
PACS2	NA	cf-magenta
PAK2	NA	cf-magenta
C16orf72	NA	cf-magenta
FANCA	NA	cf-magenta
PAX8-AS1	NA	cf-magenta
ENSG00000266086	NA	cf-magenta
ADGRL1-AS1	NA	cf-magenta
