nodeName	altName	nodeAttr[nodesPresent, ]
RB1CC1	NA	cf-purple
POLR2B	NA	cf-purple
TPR	NA	cf-purple
MCF2L2	NA	cf-purple
THRAP3	NA	cf-purple
SP100	NA	cf-purple
TOP2B	NA	cf-purple
STK17B	NA	cf-purple
STARD7	NA	cf-purple
CRACD	NA	cf-purple
TMPO	NA	cf-purple
CNOT1	NA	cf-purple
SRSF1	NA	cf-purple
EPRS1	NA	cf-purple
LRPPRC	NA	cf-purple
SCAF11	NA	cf-purple
IQGAP1	NA	cf-purple
MCL1	NA	cf-purple
DDX46	NA	cf-purple
FADS1	NA	cf-purple
PDCD4	NA	cf-purple
HNRNPDL	NA	cf-purple
ZNF146	NA	cf-purple
MALT1	NA	cf-purple
RESF1	NA	cf-purple
IKZF1	NA	cf-purple
FNBP1	NA	cf-purple
PRPF40A	NA	cf-purple
SAMD9	NA	cf-purple
DDX3X	NA	cf-purple
