nodeName	altName	nodeAttr[nodesPresent, ]
UFL1	NA	cf-red
BOD1L1	NA	cf-red
ANKRD44	NA	cf-red
KDM5A	NA	cf-red
PTPRC	NA	cf-red
DOCK8	NA	cf-red
NUFIP2	NA	cf-red
DDX5	NA	cf-red
PRPF4B	NA	cf-red
TCERG1	NA	cf-red
ITGA4	NA	cf-red
SF3B1	NA	cf-red
SRSF11	NA	cf-red
CNTRL	NA	cf-red
BAZ2B	NA	cf-red
AHNAK	NA	cf-red
ZRANB2	NA	cf-red
DOCK2	NA	cf-red
WASHC4	NA	cf-red
RANBP2	NA	cf-red
SON	NA	cf-red
REL	NA	cf-red
CYBB	NA	cf-red
PCF11	NA	cf-red
CCDC186	NA	cf-red
IDH3A	NA	cf-red
HNRNPH1	NA	cf-red
AKAP13	NA	cf-red
ANKHD1-EIF4EBP3	NA	cf-red
ENSG00000267520	NA	cf-red
