nodeName	altName	nodeAttr[nodesPresent, ]
GUCY1B1	NA	cf-turquoise
KIF2A	NA	cf-turquoise
NCK2	NA	cf-turquoise
EIF4G3	NA	cf-turquoise
NLK	NA	cf-turquoise
UIMC1	NA	cf-turquoise
SNAP23	NA	cf-turquoise
GRAP2	NA	cf-turquoise
DAAM1	NA	cf-turquoise
DNAJB6	NA	cf-turquoise
YWHAE	NA	cf-turquoise
CLCN3	NA	cf-turquoise
CORO1C	NA	cf-turquoise
KCTD20	NA	cf-turquoise
SSX2IP	NA	cf-turquoise
PRDX6	NA	cf-turquoise
MAX	NA	cf-turquoise
RAP1B	NA	cf-turquoise
PTPN12	NA	cf-turquoise
MPP1	NA	cf-turquoise
WDR44	NA	cf-turquoise
MAP1LC3B	NA	cf-turquoise
PRUNE1	NA	cf-turquoise
MBNL1	NA	cf-turquoise
ASAP1	NA	cf-turquoise
YWHAZ	NA	cf-turquoise
HOOK3	NA	cf-turquoise
LIMS1	NA	cf-turquoise
TLK1	NA	cf-turquoise
LRBA	NA	cf-turquoise
