nodeName	altName	nodeAttr[nodesPresent, ]
INPP4A	NA	cf-yellow
HERPUD1	NA	cf-yellow
TTC17	NA	cf-yellow
TARBP1	NA	cf-yellow
ZFAT	NA	cf-yellow
PAG1	NA	cf-yellow
ADA2	NA	cf-yellow
FNBP4	NA	cf-yellow
MDN1	NA	cf-yellow
PFKFB2	NA	cf-yellow
RUNX2	NA	cf-yellow
WDFY4	NA	cf-yellow
SCARB2	NA	cf-yellow
NPC1	NA	cf-yellow
OGT	NA	cf-yellow
UGCG	NA	cf-yellow
MIA3	NA	cf-yellow
SMG1	NA	cf-yellow
ADPGK	NA	cf-yellow
USP24	NA	cf-yellow
TTC14	NA	cf-yellow
SRRM2	NA	cf-yellow
CIITA	NA	cf-yellow
ZDHHC17	NA	cf-yellow
SULF2	NA	cf-yellow
TCF4	NA	cf-yellow
MPEG1	NA	cf-yellow
NPIPB13	NA	cf-yellow
NPIPB5	NA	cf-yellow
MALAT1	NA	cf-yellow
